sample_id,municipality_code,prefecture,municipality_name,layer,population_category,region_block,official_site_url,top_page_url,contact_page_url,service_page_url,hub_page_url,article_page_url,selection_reason,notes
S0153,172014,石川県,金沢市,municipality,B,chubu,https://www4.city.kanazawa.lg.jp/,https://www4.city.kanazawa.lg.jp/,https://www4.city.kanazawa.lg.jp/23047.html,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/kosodateshienka/gyomuannai/2/1/9397.html,https://www4.city.kanazawa.lg.jp/kosodate_kyoiku/jidoteate_jidofuyoteate/index.html,https://www4.city.kanazawa.lg.jp/news/30509.html,core_city,"中核市・県庁所在地 | [top] 200 OK; [contact] 市役所へのアクセス; [service] WebSearch 児童手当制度; [hub] WebSearch 子育て・教育>手当; [article] 新着情報個別記事"
S0162,152021,新潟県,長岡市,municipality,C,chubu,https://www.city.nagaoka.niigata.jp/,https://www.city.nagaoka.niigata.jp/,https://www.city.nagaoka.niigata.jp/other/toiawase.html,https://www.city.nagaoka.niigata.jp/kosodate/cate01/child-allowance/index.html,https://www.city.nagaoka.niigata.jp/kosodate/index.html,https://www.city.nagaoka.niigata.jp/shisei/cate02/blog/20260104-1.html,population_top,"人口約26万 | [top] 200 OK; [contact] WebSearch お問い合わせ; [service] WebSearch 児童手当; [hub] gnav 子育て・教育; [article] WebSearch 消防出初式2026-01-04"
S0178,152242,新潟県,佐渡市,municipality,D,chubu,https://www.city.sado.niigata.jp/,https://www.city.sado.niigata.jp/,,https://www.city.sado.niigata.jp/soshiki/2010/3996.html,https://www.city.sado.niigata.jp/life/1/9/56/,,island_municipality,"離島 | [top] 200 OK; NOT_FOUND: contact; [service] WebSearch 児童手当; [hub] WebSearch 子育て支援; NOT_FOUND: article"
S0201,282014,兵庫県,姫路市,municipality,B,kinki,https://www.city.himeji.lg.jp/,https://www.city.himeji.lg.jp/,https://www.city.himeji.lg.jp/anzen/0000007110.html,https://www.city.himeji.lg.jp/waku2child/0000013458.html,https://www.city.himeji.lg.jp/kurashi/index.html,https://www.city.himeji.lg.jp/shisei/0000032587.html,core_city,"中核市 | [top] 200 OK; [contact] 休日・夜間の窓口; [service] WebSearch 児童手当; [hub] くらし・手続きトップ; [article] WebSearch 投票お知らせ券なしでも投票可能"
S0204,242021,三重県,四日市市,municipality,C,kinki,https://www.city.yokkaichi.lg.jp/,https://www.city.yokkaichi.lg.jp/www/index.html,,https://www.city.yokkaichi.lg.jp/www/contents/1740701284355/index.html,,https://www.city.yokkaichi.lg.jp/www/contents/1767598860957/index.html,population_top,"人口約31万 | [top] 200 OK redirect; NOT_FOUND: contact 総合お問い合わせ未発見; [service] WebSearch 児童手当; NOT_FOUND: hub カテゴリページ未発見; [article] WebSearch 物価高騰給付金記事"
S0234,352039,山口県,山口市,municipality,C,chugoku,https://www.city.yamaguchi.lg.jp/,https://www.city.yamaguchi.lg.jp/,https://www.city.yamaguchi.lg.jp/ques/questionnaire.php?openid=3,https://www.city.yamaguchi.lg.jp/site/kodomo/3711.html,https://www.city.yamaguchi.lg.jp/life/1/,https://www.city.yamaguchi.lg.jp/soshiki/16/188549.html,prefecture_capital,"県庁所在地 | [top] 200 OK; [contact] 市へのご意見お問い合わせ; [service] WebSearch 児童手当; [hub] くらしの情報; [article] ウェブサイトメンテナンス記事"
S0238,342122,広島県,東広島市,municipality,C,chugoku,https://www.city.higashihiroshima.lg.jp/,https://www.city.higashihiroshima.lg.jp/,https://www.city.higashihiroshima.lg.jp/toiawase.html,https://www.city.higashihiroshima.lg.jp/soshiki/kodomomirai/1/5/3022.html,https://www.city.higashihiroshima.lg.jp/kurashi/index.html,https://www.city.higashihiroshima.lg.jp/soshiki/somu/2/1/8/2/1/44657.html,population_top,"人口約19万 | [top] 200 OK; [contact] ご意見・お問い合わせ; [service] WebSearch 児童手当; [hub] くらしの情報; [article] WebSearch 一般競争入札公告2026-02-05"
S0250,382019,愛媛県,松山市,municipality,B,shikoku,https://www.city.matsuyama.ehime.jp/,https://www.city.matsuyama.ehime.jp/,,https://www.city.matsuyama.ehime.jp/kurashi/fukushi/jido/jidouteate.html,https://www.city.matsuyama.ehime.jp/kurashi/index.html,https://www.city.matsuyama.ehime.jp/shicho/kaiken/260210.html,core_city,"中核市・県庁所在地 | [top] 200 OK; NOT_FOUND: contact 総合お問い合わせ未発見; [service] WebSearch 児童手当; [hub] くらしの情報; [article] WebSearch 市長記者会見2026-02-10"
S0252,382027,愛媛県,今治市,municipality,C,shikoku,https://www.city.imabari.ehime.jp/,https://www.city.imabari.ehime.jp/,,https://www.city.imabari.ehime.jp/kodomo/fukusi/jidouteate/,,,regional_balance,"人口約15万 | [top] 200 OK; NOT_FOUND: contact 総合お問い合わせ未発見; [service] WebSearch 児童手当; NOT_FOUND: hub カテゴリページ未発見; NOT_FOUND: article 個別記事未発見"
S0265,401307,福岡県,福岡市,municipality,A,kyushu_okinawa,https://www.city.fukuoka.lg.jp/,https://www.city.fukuoka.lg.jp/,https://www.city.fukuoka.lg.jp/soudan/index.html,https://www.city.fukuoka.lg.jp/kodomo-mirai/k-katei/child/kodomoteate.html,,https://www.city.fukuoka.lg.jp/kyoiku/kikaku/ed/166.html,designated_city,"政令指定都市 | [top] 200 OK; [contact] WebSearch 相談窓口ガイド; [service] WebSearch 児童手当; NOT_FOUND: hub カテゴリページ未発見; [article] 教育委員会記事"
S0272,462012,鹿児島県,鹿児島市,municipality,B,kyushu_okinawa,https://www.city.kagoshima.lg.jp/,https://www.city.kagoshima.lg.jp/,https://www.city.kagoshima.lg.jp/soumu/soumu/jousys/soshiki/iken.html,https://www.city.kagoshima.lg.jp/faq-kosodate-kyoiku/kodomofuku/q31.html,https://www.city.kagoshima.lg.jp/kosodate/kosodate/teate/index.html,https://www.city.kagoshima.lg.jp/senkyokanri/senkyokanri/konzatujyoukyou.html,core_city,"中核市・県庁所在地 | [top] 200 OK; [contact] WebSearch ご意見・お問い合わせ; [service] WebSearch 児童手当FAQ; [hub] 子育て手当・助成; [article] WebSearch 期日前投票混雑状況2026-02"
S0274,412015,佐賀県,佐賀市,municipality,C,kyushu_okinawa,https://www.city.saga.lg.jp/,https://www.city.saga.lg.jp/,https://www.city.saga.lg.jp/main/55234.html,https://www.city.saga.lg.jp/main/3789.html,https://www.city.saga.lg.jp/main/84805.html,https://www.city.saga.lg.jp/main/100390.html,prefecture_capital,"県庁所在地 | [top] 200 OK; [contact] 福祉まるごと相談窓口; [service] WebSearch 児童手当制度; [hub] WebSearch 手当・助成; [article] 定例記者会見2026-02"
S0286,472115,沖縄県,沖縄市,municipality,C,kyushu_okinawa,https://www.city.okinawa.okinawa.jp/,https://www.city.okinawa.okinawa.jp/,https://www.city.okinawa.okinawa.jp/k003/otoiawase.html,https://www.city.okinawa.okinawa.jp/k028/kosodate/kosodateshien/jidouteate/p00001.html,https://www.city.okinawa.okinawa.jp/kosodate/kosodateshien/jidouteate/index.html,,regional_balance,"人口約14万 | [top] 200 OK; [contact] お問い合わせ; [service] WebSearch 児童手当制度; [hub] 児童手当カテゴリ; NOT_FOUND: article RSS以外の個別記事未発見"
S0298,462225,鹿児島県,奄美市,municipality,D,kyushu_okinawa,https://www.city.amami.lg.jp/,https://www.city.amami.lg.jp/,https://www.city.amami.lg.jp/kikaku/shise/koho/soudan.html,https://www.city.amami.lg.jp/fukushi/20150219-3.html,https://www.city.amami.lg.jp/wpm/kodomokosodate.html,,island_municipality,"離島・奄美大島 | [top] 200 OK; [contact] 各種相談窓口; [service] WebSearch 児童手当; [hub] まーじん子育て応援団; NOT_FOUND: article 一覧ページのみ"
